Municipality,PROJECT_ID,AREA,RAINFALL,LAKEPERC,MORAIPERC,RIVERPERC,CLAYPERC,GRAVELPERC,PEATPERC,ROCKPERC,FORESTPERC,HEATSUM,FARMEDPERC,FIELDPERC,INCOME,nay100ha,TAXES,pop1945,HeightRANGE,HeightMEAN,HtMEDIAN,CentroidE,CentroidN
Viipuri,501,87980,635.833,2.22,32.73,6.55,23.94,31.64,3.1,4.55,70.268,1249.63,18.4,15.034,56.02,68,546.73,94245,64,18.27870888,16,28.79905732,60.7288302
Viitasaari,502,129944,529.655,28.79,60.23,8.78,1.06,1.16,5.17,6.31,83.367,1188.91,4.1,3.838,14.15,174,152.09,10019,133,133.3318529,134,25.82120972,63.10227666
Viljakkala,503,20354,644.2,13.35,23.05,13.22,22.88,8.32,7.59,26.95,80.071,1200.32,10.9,12.626,12.32,116,105.38,2507,96,127.9772727,129,23.40897532,61.73540264
Vilppula,504,103440,598.634,24.8,45.92,5.59,9.21,2.67,1.88,16.64,85.178,1205.56,8.4,7.353,34.95,33,243.98,5295,101,120.6055456,115,24.46976973,62.05043502
Vimpeli,505,22943,497.24,12.77,40.01,19.77,13.8,2.46,24.83,6.12,69.235,1069.23,16.5,15.826,7.78,68,80.57,3835,125,123.5405728,128,23.94389448,63.181263
Virolahti,506,47100,599.997,1.13,29.12,14.16,20.29,12.11,9.62,28.3,72.863,1295.74,16.6,14.491,17.42,74,136.59,6571,62,21.94153578,22,27.67449216,60.56107237
Virrat,507,111839,554.05,12.29,45.76,11.49,7.05,1.5,13.76,20.71,75.106,1127.06,5.4,8.906,16.35,115,145.39,10687,115,142.8527105,145,23.66899319,62.27986132
Virtasalmi,508,121073,553.713,21.95,64.1,9.61,0,4.02,9.5,1.51,74.838,1198.76,6.3,7.741,13.09,38,89.55,3022,81,115.1024811,114,27.42105696,62.13303071
Valkeala,510,92482,562.55,17.36,32.42,10.23,15.01,16.37,8.55,10.07,77.077,1249.79,8.3,8.793,31.61,141,211.13,11588,99,90.16988255,90,26.89024322,61.04261197
Vuolijoki,511,119110,592.107,20.05,37.58,7.63,6.09,1.23,33.59,1.69,73.578,1001.02,0.9,2.361,11.9,108,93.31,2517,111,154.1087545,148,27.0588198,64.15058837
Vuoksela,512,45322,648.137,31.39,19.2,1.97,25.56,28.03,2.52,0,64.932,1255.87,8.5,15.635,10.15,45,75.54,2940,81,22.08461538,22,29.75025266,60.69582809
Vuoksenranta,514,68722,620.414,10.02,36.05,2.74,20.5,19.13,13.64,0,65.349,1253.69,10.6,12.36,16.33,53,119.78,3602,58,25.36995828,25,29.49567262,60.84489602
Vähäkyrö,515,18978,567.627,0,49.39,15.1,42.57,1.45,2.48,4.11,65,1103.29,23.9,13.52,12.38,101,123.67,4178,38,18.71081678,19,22.07604879,63.05705284
Värtsilä,516,90382,585.824,4.08,40.98,14.04,2.06,31.88,4.93,17.16,77.354,1049.92,4.7,6.616,26.67,57,203.53,1470,140,113.6414729,117,30.67300418,62.21478131
Vöyri,517,47453,561.462,0.65,53.71,11.33,27.21,1.79,9.57,7.06,64.996,1107.73,18.2,20.411,15.42,86,86.98,6085,89,38.61100746,39,22.3349134,63.16485424
Ylihärmä,518,12934,541.398,0.37,31.44,13.33,29.51,8.75,16.51,13.78,65.009,1117.25,41.9,34.815,8.93,59,86.01,3029,53,54.69306931,54,22.7267193,63.13367873
Yli-Ii,519,146570,497.94,0.3,45.93,16.31,0,18.89,33.18,0,64.652,1006.11,1.2,1.773,9.71,138,102.69,2893,99,91.83613917,93,26.04882582,65.35953726
Ylikiiminki,520,88540,510.617,0.86,54.02,22.08,0,9.17,35.29,1.1,64.877,1017.03,1,2.903,7.85,273,77.06,3438,73,87.06633381,85,26.22287133,65.06576299
Ylämaa,521,87300,599.646,9.1,23.12,22.62,3.84,7.09,9.15,49.07,75.151,1255.33,8.3,8.653,17.43,63,101.07,2856,67,48.7560241,49,27.99695054,60.79492199
Yläne,522,33527,624.274,6.53,12.39,14.22,21.71,2.02,23.03,34.9,63.762,1226.2,9.8,15.851,11.91,113,104.01,3432,77,68.7258427,69,22.40621722,60.85137785
Ylöjärvi,523,17374,640.455,24.53,19.82,10.81,27.13,7.13,2.86,19.31,79.676,1203.8,18.2,17.374,38.89,93,282.71,5128,82,118.8188277,119,23.59982111,61.61346808
Ypäjä,524,10532,612.509,0,33.57,18.5,53.63,1.8,5.99,5.01,54.898,1191.29,31.2,37.991,15.57,80,144.22,4346,75,102.5537757,100,23.27117575,60.80364963
Ylistaro,525,43532,543.977,0.47,42.2,15.31,29.16,2.98,12.94,12.41,65.037,1109.47,33.5,18.513,13.29,54,105.04,7908,64,51.03770492,50,22.60115686,62.94076757
Ylitornio,526,273396,471.983,8.72,53.67,10.03,0,6.02,20.32,9.66,85.055,921.68,0.3,1.941,11.85,559,122.64,7024,238,127.3091537,124,24.38279441,66.44808135
Ylivieska,527,57316,502.321,0.43,62.75,14.27,15.34,0.88,15.04,5.7,64.696,1028.34,6.9,12.076,10.25,146,95.63,8327,74,83.08783344,82,24.64942425,64.06181906
Ähtäri,528,64208,559.325,15.16,56.31,11.87,4.1,1.73,21.01,3.19,79.426,1063.19,4.7,6.237,15.04,140,134.27,7384,97,185.4734552,186,24.1988295,62.57471783
Äyräpää,529,77450,646.692,16.55,54.64,4.85,13.2,21.93,7.79,0,64.779,1254.45,10.8,8.813,34.89,120,174.46,6113,69,28.81902985,27,29.50434237,60.71088056
Äänekoski,530,91714,532.674,20.33,66.27,5.83,2.86,5.52,0.96,4.9,85.022,1169.46,7.4,7.976,31.22,59,217.9,6931,163,141.40417,143,25.71399706,62.62033684
Hämeenlinna,532,9715,557.428,7.33,39.59,6.62,16.65,18.57,13.64,2.17,76.198,1209.77,12.4,13.777,54.61,96,384.22,12203,84,123.7252125,125,24.351267,60.96420567
Riihimäki,533,51855,659.791,4.51,28.77,17.11,33.43,9.11,14.63,9.56,64.835,1239.78,19.3,18.988,46.28,22,322.76,11736,65,108.9421769,108,24.73673076,60.71182902
Kerava,534,28484,649.328,0,19.58,32.95,56.77,1.53,3.76,18.37,54.913,1261.1,20.4,35.99,42.63,10,292.03,5741,23,52.34246575,51,25.1165437,60.40060155
Kuusankoski,535,92482,563.945,14.18,20.34,0.68,27.01,13.67,6.19,9.71,65.076,1251.8,8.3,16.7,57.35,19,265.02,16569,64,70.7425,70,26.6388499,60.92731807
Korpiselkä (karj.),537,130853,587.359,10.38,69.89,5.04,0,11.6,4.43,0,84.878,1042.92,0.7,2.042,13.16,191,133.81,3584,149,181.9315789,184,31.38239389,62.32350818
Valkeakoski,539,24320,538.914,26.14,27.68,5.64,25.69,5.15,7.77,8.38,67.307,1200.46,26.8,29.956,31.45,54,268.19,5759,66,98.64116576,98,24.01971998,61.24811763
